pre_nfeats,fsm_nfeats,focus,precision_train,precision_test,combined_precision_test,recall_train,recall_test,combined_recall_test,diversity,complexity
20,none,none,0.862525417158,0.600610969076,.61151079136690647482,0.517418772488,0.347679324895,.35864978902953586497,0.019438931000,10.130000000000
all,1,all,0.808471515705,0.588189923331,.57763975155279503105,0.542389847628,0.381434599156,.39240506329113924050,0.057028982000,8.120000000000
all,1,active,0.954407395105,0.597594302806,.58064516129032258064,0.506408905989,0.302531645570,.30379746835443037974,0.024231800000,13.120000000000
all,1,all,0.808471515705,0.588189923331,.57763975155279503105,0.542389847628,0.381434599156,.39240506329113924050,0.057028982000,8.120000000000
all,1,active,0.954407395105,0.597594302806,.58064516129032258064,0.506408905989,0.302531645570,.30379746835443037974,0.024231800000,13.120000000000
all,1,all,0.808471515705,0.588189923331,.57763975155279503105,0.542389847628,0.381434599156,.39240506329113924050,0.057028982000,8.120000000000
all,1,active,0.954407395105,0.597594302806,.58064516129032258064,0.506408905989,0.302531645570,.30379746835443037974,0.024231800000,13.120000000000
